,확인용,적요,적요일련번호,금융회사,입출금구분,데이터셋출처,출처번호,적요구조,적요구조일련번호,적요 설명,거래코드,분류,분류번호,최소금액,최대금액,단어,단어일련번호,단어의미,개체명,완료여부,적요_pre,적요길이,적요반대_pre
4371,3406,간호간병인센티브,1951,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,238000,360000,,,,,,간호간병인센티브,8,브티센인병간호간
5144,5250,기본역량인센티브,3384,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,500000,500000,,,,,,기본역량인센티브,8,브티센인량역본기
5169,5780,남양안전인센티브,3652,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,520000,706000,,,,,,남양안전인센티브,8,브티센인전안양남
5196,5882,논문인센티브,3729,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,1472000,1472000,,,,,,논문인센티브,6,브티센인문논
5368,7191,동성계전　인센티브,4909,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,622000,622000,,,,,,동성계전　인센티브,8,브티센인　전계성동
5423,7336,드래곤　인센티브,5031,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,9790000,9790000,,,,,,드래곤　인센티브,7,브티센인　곤래드
5430,7353,디딤   급여인센티브,5045,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,1361000,1361000,,,,,,디딤   급여인센티브,8,브티센인여급   딤디
5455,7429,라이온인센티브,5110,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,7010000,17554000,,,,,,라이온인센티브,7,브티센인온이라
5570,7846,무재해　인센티브,5424,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,699000,699000,,,,,,무재해　인센티브,7,브티센인　해재무
5571,7848,무재해달성인센티브,5426,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,510000,510000,,,,,,무재해달성인센티브,9,브티센인성달해재무
5572,7849,무재해인센티브,5427,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,467000,838000,,,,,,무재해인센티브,7,브티센인해재무
5736,9182,상반기인센티브,6147,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,0,0,,,,,,상반기인센티브,7,브티센인기반상
5778,9279,샐캡인센티브,6207,,입금,우리은행,F020,자동입력,,,지로대량급여 입금이체,급여,DA01,106000,2366000,,,,,,샐캡인센티브,6,브티센인캡샐
5786,9295,생산성인센티브,6218,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,1386000,1386000,,,,,,생산성인센티브,7,브티센인성산생
5787,9296,생산인센티브,6219,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,1401000,1401000,,,,,,생산인센티브,6,브티센인산생
5867,9608,설특판인센티브,6462,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,98000,98000,,,,,,설특판인센티브,7,브티센인판특설
5889,9636,성과인센티브,6484,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,4558000,33016000,,,,,,성과인센티브,6,브티센인과성
5890,9637,성과인센티브,6485,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,4558000,33016000,,,,,,성과인센티브,6,브티센인과성
5891,9638,성과인센티브,6486,,입금,우리은행,F020,자동입력,,,일반대외대량 입금이체,급여,DA01,4558000,33016000,,,,,,성과인센티브,6,브티센인과성
5892,9639,성과인센티브,6487,,입금,우리은행,F020,자동입력,,,지로대량급여 입금이체,급여,DA01,4558000,33016000,,,,,,성과인센티브,6,브티센인과성
6023,10205,신규인센티브,6908,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,83000,496000,,,,,,신규인센티브,6,브티센인규신
6110,11072,안전인센티브,7617,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,355000,4600000,,,,,,안전인센티브,6,브티센인전안
6111,11073,안전인센티브,7618,,입금,우리은행,F020,자동입력,,,일반대외대량 입금이체,급여,DA01,355000,4600000,,,,,,안전인센티브,6,브티센인전안
6252,11662,영업인센티브,8078,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,1323000,2150000,,,,,,영업인센티브,6,브티센인업영
6286,11821,올리브영　인센티브,8196,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,372000,28187000,,,,,,올리브영　인센티브,8,브티센인　영브리올
6658,12875,인사평가인센티브,8829,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,1000000,3000000,,,,,,인사평가인센티브,8,브티센인가평사인
6659,12879,인센티브,8833,,입금,우리은행,F020,자동입력,,,상여금 입금이체,급여,DA01,0,119072000,,,,,,인센티브,4,브티센인
6660,12880,인센티브,8834,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,0,119072000,,,,,,인센티브,4,브티센인
