,확인용,적요,적요일련번호,금융회사,입출금구분,데이터셋출처,출처번호,적요구조,적요구조일련번호,적요 설명,거래코드,분류,분류번호,최소금액,최대금액,단어,단어일련번호,단어의미,개체명,완료여부,적요_pre,적요길이,적요반대_pre
4188,2702,HTS설상여,1398,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,298000,298000,,,,,,HTS설상여,6,여상설STH
5404,7302,두경설상여,5004,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,397000,1127000,,,,,,두경설상여,5,여상설경두
5519,7703,메인테크설상여,5299,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,928000,928000,,,,,,메인테크설상여,7,여상설크테인메
5856,9591,설상여,6449,,입금,우리은행,F020,자동입력,,,상여금 입금이체,급여,DA01,100000,49165000,,,,,,설상여,3,여상설
5857,9592,설상여,6450,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,100000,49165000,,,,,,설상여,3,여상설
5858,9593,설상여,6451,,입금,우리은행,F020,자동입력,,,전자뱅킹예약건별이체,급여,DA01,100000,49165000,,,,,,설상여,3,여상설
5982,10070,슈퍼레이스설상여,6798,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,2118000,2118000,,,,,,슈퍼레이스설상여,8,여상설스이레퍼슈
5993,10109,스테코설상여,6830,,입금,우리은행,F020,자동입력,,,지로대량급여 입금이체,급여,DA01,130000,130000,,,,,,스테코설상여,6,여상설코테스
7203,15272,페이업　설상여,10581,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,100000,100000,,,,,,페이업　설상여,6,여상설　업이페
7258,15422,플레이탱고　설상여,10698,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,500000,500000,,,,,,플레이탱고　설상여,8,여상설　고탱이레플
7427,16836,휘닉스설상여,11676,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,2363000,2363000,,,,,,휘닉스설상여,6,여상설스닉휘
7672,18242,ＳＳＫ　설상여,12641,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,1180000,1958000,,,,,,ＳＳＫ　설상여,6,여상설　ＫＳＳ
64970,66842,서호성＿설상여,35308,우리은행,출금,우리은행,F020,직접입력,,,전자뱅킹예약건별이체,급여지급,EI03,200000,200000,,,,,,서호성＿설상여,6,여상설＿성호서
