,확인용,적요,적요일련번호,금융회사,입출금구분,데이터셋출처,출처번호,적요구조,적요구조일련번호,적요 설명,거래코드,분류,분류번호,최소금액,최대금액,단어,단어일련번호,단어의미,개체명,완료여부,적요_pre,적요길이,적요반대_pre
58992,57907,농협직무수당,27614,,출금,우리은행,F020,직접입력,,,전자뱅킹예약건별이체,급여지급,EI03,100000,100000,,,,,,농협직무수당,6,당수무직협농
5550,7801,명절특별수당,5389,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,500000,500000,,,,,,명절특별수당,6,당수별특절명
6932,14270,직책수당,9889,,입금,우리은행,F020,자동입력,,,지로대량급여 입금이체,급여,DA01,0,882000,,,,,,직책수당,4,당수책직
7159,15129,특별수당,10479,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,100000,150000,,,,,,특별수당,4,당수별특
7626,18035,ＬＨ업무수당,12551,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,25000,25000,,,,,,ＬＨ업무수당,6,당수무업ＨＬ
55420,16710,홍익대　연수수당,11586,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,기타소득,DA06,180000,180000,,,,,,홍익대　연수수당,7,당수수연　대익홍
55430,16715,홍익대강의수당,11591,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,기타소득,DA06,120000,120000,,,,,,홍익대강의수당,7,당수의강대익홍
55440,16720,홍익대연수수당,11596,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,기타소득,DA06,180000,180000,,,,,,홍익대연수수당,7,당수수연대익홍
60423,3599,건보　감염관리수당,2063,우리은행,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,기타소득,DA06,20000,850000,,,,,,건보　감염관리수당,8,당수리관염감　보건
60462,3828,과학연구수당,2255,우리은행,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,지원금/장학금,DC07,1872000,1872000,,,,,,과학연구수당,6,당수구연학과
60497,3960,교육연구수당,2347,우리은행,입금,우리은행,F020,자동입력,,,급여 입금이체,지원금/장학금,DC07,0,6728000,,,,,,교육연구수당,6,당수구연육교
60619,5852,노무사회관리수당,3705,우리은행,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,기타소득,DA06,0,0,,,,,,노무사회관리수당,8,당수리관회사무노
60652,6790,대노이사회참석수당,4575,우리은행,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,기타소득,DA06,30000,30000,,,,,,대노이사회참석수당,9,당수석참회사이노대
60698,7131,돌봄인력특별수당,4854,우리은행,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,기타소득,DA06,200000,200000,,,,,,돌봄인력특별수당,8,당수별특력인봄돌
