,확인용,적요,적요일련번호,금융회사,입출금구분,데이터셋출처,출처번호,적요구조,적요구조일련번호,적요 설명,거래코드,분류,분류번호,최소금액,최대금액,단어,단어일련번호,단어의미,개체명,완료여부,적요_pre,적요길이,적요반대_pre
51844,53122,꿈나무장학금,23189,,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,기부,EI01,20000,20000,,,,,,꿈나무장학금,6,금학장무나꿈
55342,14749,코로나장학금,10230,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,지원금/장학금,DC07,50000,50000,,,,,,코로나장학금,6,금학장나로코
55344,14750,코로나특별장학금,10231,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,지원금/장학금,DC07,50000,50000,,,,,,코로나특별장학금,8,금학장별특나로코
55422,16711,홍익대　장학금,11587,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,지원금/장학금,DC07,1200000,1200000,,,,,,홍익대　장학금,6,금학장　대익홍
55446,16723,홍익대학교장학금,11599,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,지원금/장학금,DC07,300000,2009000,,,,,,홍익대학교장학금,8,금학장교학대익홍
56896,46632,국민최진성장학금,17897,,출금,우리은행,F020,직접입력,,,전자뱅킹예약건별이체,기타출금,EH04,1000000,1000000,,,,,,국민최진성장학금,8,금학장성진최민국
60715,7354,디딤돌장학금,5046,우리은행,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,지원금/장학금,DC07,407000,697000,,,,,,디딤돌장학금,6,금학장돌딤디
60950,8766,사회서비스가족장학금,5911,우리은행,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,지원금/장학금,DC07,500000,500000,,,,,,사회서비스가족장학금,10,금학장족가스비서회사
61596,13350,정부초청외국인장학금,9155,우리은행,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,지원금/장학금,DC07,1000000,1000000,,,,,,정부초청외국인장학금,10,금학장인국외청초부정
62085,16705,홍익글로벌장학금,11581,우리은행,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,지원금/장학금,DC07,0,0,,,,,,홍익글로벌장학금,8,금학장벌로글익홍
62199,18263,ＳＷ인재장학금,12652,우리은행,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,지원금/장학금,DC07,0,0,,,,,,ＳＷ인재장학금,7,금학장재인ＷＳ
