,확인용,적요,적요일련번호,금융회사,입출금구분,데이터셋출처,출처번호,적요구조,적요구조일련번호,적요 설명,거래코드,분류,분류번호,최소금액,최대금액,단어,단어일련번호,단어의미,개체명,완료여부,적요_pre,적요길이,적요반대_pre
49398,4110,국민－국민김종현,2468,,입금,우리은행,F020,bank-name,,,납부자자동 입금이체,개인입금,DC03,0,0,,,,,,국민－국민김종현,7,현종김민국－민국
49400,4112,국민－국민허찬,2470,,입금,우리은행,F020,bank-name,,,납부자자동 입금이체,개인입금,DC03,200000,200000,,,,,,국민－국민허찬,6,찬허민국－민국
54486,4057,국민-국민은행 적금,2419,,입금,우리은행,F020,직접입력,,,타행자동이체-전자금융부,저축/투자,DB02,0,0,,,,,,국민-국민은행 적금,8,금적 행은민국-민국
54506,4111,국민－국민은행,2469,,입금,우리은행,F020,직접입력,,,납부자자동 입금이체,생활비입금,DC06,1000000,1000000,,,,,,국민－국민은행,6,행은민국－민국
55872,43718,국민-국민,15280,,출금,우리은행,F020,직접입력,,,타행자동이체-전자금융부,금융지출,EA07,0,0,,,,,,국민-국민,4,민국-민국
55874,43719,국민-국민  절약돈,15281,,출금,우리은행,F020,직접입력,,,타행자동이체-전자금융부,저축/투자,EA04,0,0,,,,,,국민-국민  절약돈,7,돈약절  민국-민국
55876,43720,국민-국민 매월이체,15282,,출금,우리은행,F020,직접입력,,,타행자동이체-전자금융부,기타출금,EH04,1000,1000,,,,,,국민-국민 매월이체,8,체이월매 민국-민국
55878,43721,국민-국민 생활비,15283,,출금,우리은행,F020,직접입력,,,타행자동이체-전자금융부,기타출금,EH04,0,0,,,,,,국민-국민 생활비,7,비활생 민국-민국
55882,43724,국민-국민_청약,15285,,출금,우리은행,F020,직접입력,,,타행자동이체-전자금융부,저축/투자,EA04,0,0,,,,,,국민-국민_청약,6,약청_민국-민국
55884,43725,국민-국민개인연금,15286,,출금,우리은행,F020,직접입력,,,납부자자동 출금이체,4대보험,EA02,0,0,,,,,,국민-국민개인연금,8,금연인개민국-민국
55888,43727,국민-국민대출,15288,,출금,우리은행,F020,직접입력,,,타행자동이체-전자금융부,대출금상환,EA03,0,0,,,,,,국민-국민대출,6,출대민국-민국
55890,43728,국민-국민대출이자,15289,,출금,우리은행,F020,직접입력,,,납부자자동 출금이체,대출금상환,EA03,0,0,,,,,,국민-국민대출이자,8,자이출대민국-민국
55892,43729,국민-국민대출이자,15290,,출금,우리은행,F020,직접입력,,,타행자동이체-전자금융부,대출금상환,EA03,0,0,,,,,,국민-국민대출이자,8,자이출대민국-민국
55894,43730,국민-국민모피,15291,,출금,우리은행,F020,직접입력,,,타행자동이체-전자금융부,기타출금,EH04,0,0,,,,,,국민-국민모피,6,피모민국-민국
55896,43732,국민-국민으로,15292,,출금,우리은행,F020,직접입력,,,타행자동이체-전자금융부,기타출금,EH04,0,0,,,,,,국민-국민으로,6,로으민국-민국
55898,43733,국민-국민은행,15293,,출금,우리은행,F020,직접입력,,,타행자동이체-전자금융부,금융지출,EA07,0,0,,,,,,국민-국민은행,6,행은민국-민국
55902,43735,국민-국민은행 적금,15295,,출금,우리은행,F020,직접입력,,,타행자동이체-전자금융부,저축/투자,EA04,0,0,,,,,,국민-국민은행 적금,8,금적 행은민국-민국
55906,43737,국민-국민은행이자,15297,,출금,우리은행,F020,직접입력,,,타행자동이체-전자금융부,대출금상환,EA03,0,0,,,,,,국민-국민은행이자,8,자이행은민국-민국
55908,43738,국민-국민은행이체,15298,,출금,우리은행,F020,직접입력,,,타행자동이체-전자금융부,기타출금,EH04,0,0,,,,,,국민-국민은행이체,8,체이행은민국-민국
55910,43739,국민-국민은행자동,15299,,출금,우리은행,F020,직접입력,,,타행자동이체-전자금융부,기타출금,EH04,0,0,,,,,,국민-국민은행자동,8,동자행은민국-민국
55912,43741,국민-국민자동이체,15300,,출금,우리은행,F020,직접입력,,,타행자동이체-전자금융부,기타출금,EH04,0,0,,,,,,국민-국민자동이체,8,체이동자민국-민국
55914,43742,국민-국민적금,15301,,출금,우리은행,F020,직접입력,,,타행자동이체-전자금융부,저축/투자,EA04,0,0,,,,,,국민-국민적금,6,금적민국-민국
55916,43743,국민-국민전세,15302,,출금,우리은행,F020,직접입력,,,타행자동이체-전자금융부,주거비,EB02,0,0,,,,,,국민-국민전세,6,세전민국-민국
55918,43744,국민-국민주택청약,15303,,출금,우리은행,F020,직접입력,,,타행자동이체-전자금융부,저축/투자,EA04,0,0,,,,,,국민-국민주택청약,8,약청택주민국-민국
55920,43745,국민-국민카드,15304,,출금,우리은행,F020,직접입력,,,타행자동이체-전자금융부,카드대금,EA06,0,0,,,,,,국민-국민카드,6,드카민국-민국
