,확인용,적요,적요일련번호,금융회사,입출금구분,데이터셋출처,출처번호,적요구조,적요구조일련번호,적요 설명,거래코드,분류,분류번호,최소금액,최대금액,단어,단어일련번호,단어의미,개체명,완료여부,적요_pre,적요길이,적요반대_pre
1896,67436,세무그룹금강,35842,,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,전문서비스,EC02,110000,110000,,,,,,세무그룹금강,6,강금룹그무세
1898,67437,세무그룹다솔,35843,,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,전문서비스,EC02,110000,110000,,,,,,세무그룹다솔,6,솔다룹그무세
1900,67438,세무그룹다온,35844,,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,전문서비스,EC02,110000,110000,,,,,,세무그룹다온,6,온다룹그무세
1902,67439,세무그룹더셈,35845,,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,전문서비스,EC02,220000,220000,,,,,,세무그룹더셈,6,셈더룹그무세
1904,67440,세무그룹레전드,35846,,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,전문서비스,EC02,0,110000,,,,,,세무그룹레전드,7,드전레룹그무세
1906,67441,세무그룹백신,35847,,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,전문서비스,EC02,110000,110000,,,,,,세무그룹백신,6,신백룹그무세
1908,67442,세무그룹세경,35848,,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,전문서비스,EC02,77000,165000,,,,,,세무그룹세경,6,경세룹그무세
1910,67443,세무그룹세담,35849,,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,전문서비스,EC02,1000000,1000000,,,,,,세무그룹세담,6,담세룹그무세
1912,67444,세무그룹세연,35850,,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,전문서비스,EC02,0,88000,,,,,,세무그룹세연,6,연세룹그무세
1914,67445,세무그룹세일,35851,,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,전문서비스,EC02,0,132000,,,,,,세무그룹세일,6,일세룹그무세
1916,67446,세무그룹송정,35852,,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,전문서비스,EC02,88000,165000,,,,,,세무그룹송정,6,정송룹그무세
1918,67447,세무그룹의정,35853,,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,전문서비스,EC02,0,0,,,,,,세무그룹의정,6,정의룹그무세
1920,67448,세무그룹이원,35854,,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,전문서비스,EC02,99000,99000,,,,,,세무그룹이원,6,원이룹그무세
1922,67449,세무그룹주원,35855,,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,전문서비스,EC02,0,0,,,,,,세무그룹주원,6,원주룹그무세
1924,67450,세무그룹청연,35856,,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,전문서비스,EC02,88000,110000,,,,,,세무그룹청연,6,연청룹그무세
1926,67451,세무그룹태신,35857,,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,전문서비스,EC02,77000,77000,,,,,,세무그룹태신,6,신태룹그무세
1928,67452,세무그룹혜안,35858,,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,전문서비스,EC02,110000,110000,,,,,,세무그룹혜안,6,안혜룹그무세
1930,67453,세무그룹희망,35859,,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,전문서비스,EC02,100000,100000,,,,,,세무그룹희망,6,망희룹그무세
