,확인용,적요,적요일련번호,금융회사,입출금구분,데이터셋출처,출처번호,적요구조,적요구조일련번호,적요 설명,거래코드,분류,분류번호,최소금액,최대금액,단어,단어일련번호,단어의미,개체명,완료여부,적요_pre,적요길이,적요반대_pre
224,41084,가현택스세무,13088,,출금,우리은행,F020,회사명,,,펌뱅킹 출금이체,전문서비스,EC02,110000,110000,,,,,,가현택스세무,6,무세스택현가
312,42481,고려택스세무,14277,,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,전문서비스,EC02,55000,55000,,,,,,고려택스세무,6,무세스택려고
340,43073,광개토세무,14769,,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,전문서비스,EC02,110000,110000,,,,,,광개토세무,5,무세토개광
362,43971,국민-김유창세무,15513,,출금,우리은행,F020,직접입력,,,타행자동이체-전자금융부,전문서비스,EC02,0,0,,,,,,국민-김유창세무,7,무세창유김-민국
374,46872,굿모닝세무,18103,,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,전문서비스,EC02,0,110000,,,,,,굿모닝세무,5,무세닝모굿
378,46884,굿택스세무,18115,,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,전문서비스,EC02,110000,110000,,,,,,굿택스세무,5,무세스택굿
420,47456,글로벌세무,18587,,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,전문서비스,EC02,0,165000,,,,,,글로벌세무,5,무세벌로글
430,48682,기업-안재규세무,19691,,출금,우리은행,F020,직접입력,,,타행자동이체-전자금융부,전문서비스,EC02,0,0,,,,,,기업-안재규세무,7,무세규재안-업기
510,50043,김동진세무,20858,,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,전문서비스,EC02,77000,77000,,,,,,김동진세무,5,무세진동김
584,50823,김성준세무,21436,,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,전문서비스,EC02,220000,220000,,,,,,김성준세무,5,무세준성김
610,51148,김앤리세무,21683,,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,전문서비스,EC02,55000,55000,,,,,,김앤리세무,5,무세리앤김
636,51324,김영창세무,21816,,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,전문서비스,EC02,0,0,,,,,,김영창세무,5,무세창영김
796,52591,김택스세무,22788,,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,전문서비스,EC02,88000,88000,,,,,,김택스세무,5,무세스택김
816,52851,김형찬세무,22992,,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,전문서비스,EC02,0,0,,,,,,김형찬세무,5,무세찬형김
824,52875,김혜선세무,23010,,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,전문서비스,EC02,110000,110000,,,,,,김혜선세무,5,무세선혜김
856,53289,나우경영세무,23339,,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,전문서비스,EC02,77000,77000,,,,,,나우경영세무,6,무세영경우나
862,53312,나이스세무,23357,,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,전문서비스,EC02,0,187000,,,,,,나이스세무,5,무세스이나
872,53319,나이스원세무,23364,,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,전문서비스,EC02,0,165000,,,,,,나이스원세무,6,무세원스이나
874,53321,나이스유세무,23366,,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,전문서비스,EC02,77000,77000,,,,,,나이스유세무,6,무세유스이나
902,53742,넘버원세무,23742,,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,전문서비스,EC02,110000,110000,,,,,,넘버원세무,5,무세원버넘
1068,58257,다올회계세무,27913,,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,전문서비스,EC02,0,0,,,,,,다올회계세무,6,무세계회올다
1120,58679,대명택스세무,28303,,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,전문서비스,EC02,99000,99000,,,,,,대명택스세무,6,무세스택명대
