,개체명,거래코드,단어,단어의미,단어일련번호,데이터셋출처,분류,분류번호,완료여부,입출금구분,적요,적요 설명,적요구조,적요구조일련번호,적요일련번호,최대금액,최소금액,출처번호,확인용
0,은행명,전자뱅킹예약건별이체,수협,수협은행,0.0,우리은행,개인간거래,EH01,1.0,출금,수협대출금,수협은행 계좌로 대출로(으로) 이체한 내역의 적요이다.,bank-name,,37878.0,277000.0,277000.0,F020,69656.0
1,금융용어,전자뱅킹예약건별이체,대출,대출,1.0,우리은행,개인간거래,EH01,1.0,출금,수협대출금,수협은행 계좌로 대출로(으로) 이체한 내역의 적요이다.,bank-name,,37878.0,277000.0,277000.0,F020,69656.0
2,알수없음,전자뱅킹예약건별이체,금,금,2.0,우리은행,개인간거래,EH01,1.0,출금,수협대출금,수협은행 계좌로 대출로(으로) 이체한 내역의 적요이다.,bank-name,,37878.0,277000.0,277000.0,F020,2.0
3,은행명,납부자자동 입금이체,국민,KB국민은행,0.0,우리은행,이자,DB05,1.0,입금,국민－한라대출이자,KB국민은행 계좌에서 대출이자로(으로) 입금된 내역의 적요이다.,직접입력,,2822.0,365000.0,365000.0,F020,4479.0
4,금융용어,납부자자동 입금이체,대출이자,대출이자,1.0,우리은행,이자,DB05,1.0,입금,국민－한라대출이자,KB국민은행 계좌에서 대출이자로(으로) 입금된 내역의 적요이다.,직접입력,,2822.0,365000.0,365000.0,F020,4479.0
5,알수없음,납부자자동 입금이체,－한라,－한라,2.0,우리은행,이자,DB05,1.0,입금,국민－한라대출이자,KB국민은행 계좌에서 대출이자로(으로) 입금된 내역의 적요이다.,직접입력,,2822.0,365000.0,365000.0,F020,2.0
6,은행명,납부자자동 입금이체,금고,새마을금고,0.0,우리은행,대출금,DC10,1.0,입금,금고－안심전환대출,새마을금고 계좌에서 대출로(으로) 입금된 내역의 적요이다.,직접입력,,2975.0,427000.0,427000.0,F020,4666.0
7,금융용어,납부자자동 입금이체,대출,대출,1.0,우리은행,대출금,DC10,1.0,입금,금고－안심전환대출,새마을금고 계좌에서 대출로(으로) 입금된 내역의 적요이다.,직접입력,,2975.0,427000.0,427000.0,F020,4666.0
8,알수없음,납부자자동 입금이체,－안심전환,－안심전환,2.0,우리은행,대출금,DC10,1.0,입금,금고－안심전환대출,새마을금고 계좌에서 대출로(으로) 입금된 내역의 적요이다.,직접입력,,2975.0,427000.0,427000.0,F020,2.0
9,은행명,납부자자동 입금이체,신한,신한은행,0.0,우리은행,대출금,DC10,1.0,입금,신한－대출이자,신한은행 계좌에서 대출이자로(으로) 입금된 내역의 적요이다.,직접입력,,7065.0,500000.0,50000.0,F020,10416.0
