index,확인용,입출금구분,거래코드,적요,최소금액,최대금액,대분류,분류,적요일련번호,금융회사,데이터셋출처,출처번호,적요구조,적요구조일련번호,적요 설명,분류번호,단어,단어일련번호,단어의미,개체명,완료여부,적요_pre,적요길이,적요반대_pre
58,58,입금,인터넷뱅킹 대량이체,    년　  월급,"2,046,000","2,046,000",소득,급여,,,,,,,,,,,,,,0000년000월급,10,급월000년0000
509,509,입금,인터넷뱅킹 대량이체,  ． 월월급, - , - ,소득,급여,,,,,,,,,,,,,,00．0월월급,7,급월월0．00
783,783,입금,인터넷뱅킹 대량이체, 월급,"1,918,000","1,918,000",소득,급여,,,,,,,,,,,,,,0월급,3,급월0
1050,1050,입금,전자뱅킹예약건별이체, 월월급, - , - ,소득,급여,,,,,,,,,,,,,,0월월급,4,급월월0
3455,3455,입금,인터넷뱅킹 대량이체,강남유정 월급,"1,930,000","1,943,000",소득,급여,,,,,,,,,,,,,,강남유정0월급,7,급월0정유남강
3479,3479,입금,인터넷뱅킹 대량이체,강동유정 월급,"1,320,000","1,320,000",소득,급여,,,,,,,,,,,,,,강동유정0월급,7,급월0정유동강
3485,3485,입금,인터넷뱅킹 대량이체,강동효성요양  월급,"2,567,000","2,567,000",소득,급여,,,,,,,,,,,,,,강동효성요양00월급,10,급월00양요성효동강
3501,3501,입금,인터넷뱅킹 대량이체,강북으뜸병원  월급, - ,"3,190,000",소득,급여,,,,,,,,,,,,,,강북으뜸병원00월급,10,급월00원병뜸으북강
5824,5824,입금,인터넷뱅킹 대량이체,넥스트웨이브　 월급,"5,330,000","5,330,000",소득,급여,,,,,,,,,,,,,,넥스트웨이브00월급,10,급월00브이웨트스넥
5881,5881,입금,인터넷뱅킹 대량이체,녹원 월급,"60,000","1,523,000",소득,급여,,,,,,,,,,,,,,녹원0월급,5,급월0원녹
7051,7051,입금,인터넷뱅킹 대량이체,더아이엠씨　  월급,"2,123,000","2,123,000",소득,급여,,,,,,,,,,,,,,더아이엠씨000월급,10,급월000씨엠이아더
7158,7158,입금,인터넷뱅킹 대량이체,동명물류  년 월급, - , - ,소득,급여,,,,,,,,,,,,,,동명물류00년0월급,10,급월0년00류물명동
9742,9742,입금,지로대량급여 입금이체,세메스 월급, - ,"1,000",소득,급여,,,,,,,,,,,,,,세메스0월급,6,급월0스메세
9914,9914,입금,인터넷뱅킹 대량이체,솔빛유정 월급,"1,045,000","1,045,000",소득,급여,,,,,,,,,,,,,,솔빛유정0월급,7,급월0정유빛솔
9955,9955,입금,인터넷뱅킹 대량이체,송파유정 월급,"1,165,000","1,646,000",소득,급여,,,,,,,,,,,,,,송파유정0월급,7,급월0정유파송
10047,10047,입금,인터넷뱅킹 대량이체,숲속유정 월급,"1,631,000","2,207,000",소득,급여,,,,,,,,,,,,,,숲속유정0월급,7,급월0정유속숲
11033,11033,입금,인터넷뱅킹 대량이체,아터    월급,"2,269,000","2,269,000",소득,급여,,,,,,,,,,,,,,아터0000월급,8,급월0000터아
11034,11034,입금,인터넷뱅킹 대량이체,아터  월급, - , - ,소득,급여,,,,,,,,,,,,,,아터00월급,6,급월00터아
11803,11803,입금,인터넷뱅킹 대량이체,온사랑월급, - ,"596,000",소득,급여,,,,,,,,,,,,,,온사랑월급,5,급월랑사온
12372,12372,입금,인터넷뱅킹 대량이체,유경 월급,"2,163,000","2,163,000",소득,급여,,,,,,,,,,,,,,유경0월급,5,급월0경유
12435,12435,입금,인터넷뱅킹 대량이체,유정 월급,"1,728,000","2,520,000",소득,급여,,,,,,,,,,,,,,유정0월급,5,급월0정유
13522,13522,입금,인터넷뱅킹 대량이체,젬마월급,"1,247,000","1,247,000",소득,급여,,,,,,,,,,,,,,젬마월급,4,급월마젬
15386,15386,입금,인터넷뱅킹 대량이체,프로덕트온라인 월급, - , - ,소득,급여,,,,,,,,,,,,,,프로덕트온라인0월급,10,급월0인라온트덕로프
17965,17965,입금,인터넷뱅킹 대량이체,ＫＦＲ  ．  월급, - ,"5,488,000",소득,급여,,,,,,,,,,,,,,ＫＦＲ00．00월급,10,급월00．00ＲＦＫ
18120,18120,입금,인터넷뱅킹 대량이체,ＰＣＬ 월급, - ,"2,740,000",소득,급여,,,,,,,,,,,,,,ＰＣＬ0월급,6,급월0ＬＣＰ
18354,18354,입금,인터넷뱅킹 대량이체,ｓｊ엔텍 월급,"2,622,000","2,622,000",소득,급여,,,,,,,,,,,,,,ｓｊ엔텍0월급,7,급월0텍엔ｊｓ
53726,53726,지급,요구불간계좌이체,내월급, - , - ,개인거래,개인간거래,,,,,,,,,,,,,,내월급,3,급월내
