index,확인용,입출금구분,거래코드,적요,최소금액,최대금액,대분류,분류,적요일련번호,금융회사,데이터셋출처,출처번호,적요구조,적요구조일련번호,적요 설명,분류번호,단어,단어일련번호,단어의미,개체명,완료여부,적요_pre,적요길이,적요반대_pre
1148,1148,입금,인터넷뱅킹 대량이체, 월하계휴가비, - , - ,입금이체,복리후생비/경비,,,,,,,,,,,,,,0월하계휴가비,7,비가휴계하월0
4601,4601,입금,지로대량급여 입금이체,근속휴가비, - ,"2,802,000",입금이체,회사입금,,,,,,,,,,,,,,근속휴가비,5,비가휴속근
7426,7426,입금,인터넷뱅킹 대량이체,라이온보상휴가비,"18,000","2,009,000",입금이체,복리후생비/경비,,,,,,,,,,,,,,라이온보상휴가비,8,비가휴상보온이라
7802,7802,입금,인터넷뱅킹 대량이체,명절휴가비,"100,000","3,145,000",소득,급여,,,,,,,,,,,,,,명절휴가비,5,비가휴절명
7803,7803,입금,전자뱅킹예약건별이체,명절휴가비,"100,000","3,145,000",소득,급여,,,,,,,,,,,,,,명절휴가비,5,비가휴절명
7804,7804,입금,지로대량급여 입금이체,명절휴가비,"100,000","3,145,000",소득,급여,,,,,,,,,,,,,,명절휴가비,5,비가휴절명
8566,8566,입금,급여 입금이체,부천성모휴가비, - , - ,입금이체,복리후생비/경비,,,,,,,,,,,,,,부천성모휴가비,7,비가휴모성천부
9123,9123,입금,급여 입금이체,상계백효도휴가비,"1,000,000","1,000,000",소득,급여,,,,,,,,,,,,,,상계백효도휴가비,8,비가휴도효백계상
9561,9561,입금,인터넷뱅킹 대량이체,설　효도휴가비,"800,000","800,000",소득,급여,,,,,,,,,,,,,,설0효도휴가비,7,비가휴도효0설
9589,9589,입금,인터넷뱅킹 대량이체,설명절휴가비,"30,000","100,000",소득,급여,,,,,,,,,,,,,,설명절휴가비,6,비가휴절명설
9609,9609,입금,인터넷뱅킹 대량이체,설휴가비,"400,000","400,000",소득,급여,,,,,,,,,,,,,,설휴가비,4,비가휴설
10117,10117,입금,인터넷뱅킹 대량이체,스포티비　휴가비, - , - ,입금이체,복리후생비/경비,,,,,,,,,,,,,,스포티비0휴가비,8,비가휴0비티포스
11493,11493,입금,급여 입금이체,여의도하계휴가비, - , - ,입금이체,복리후생비/경비,,,,,,,,,,,,,,여의도하계휴가비,8,비가휴계하도의여
12972,12972,입금,상여금 입금이체,일산백효도휴가비,"1,000,000","1,000,000",입금이체,경조사/용돈입금,,,,,,,,,,,,,,일산백효도휴가비,8,비가휴도효백산일
13237,13237,입금,인터넷뱅킹 대량이체,전공의휴가비,"77,000","376,000",소득,급여,,,,,,,,,,,,,,전공의휴가비,6,비가휴의공전
15081,15081,입금,인터넷뱅킹 대량이체,투게더휴가비,"400,000","1,500,000",소득,급여,,,,,,,,,,,,,,투게더휴가비,6,비가휴더게투
15493,15493,입금,급여 입금이체,하계휴가비, - , - ,소득,급여,,,,,,,,,,,,,,하계휴가비,5,비가휴계하
15494,15494,입금,인터넷뱅킹 대량이체,하계휴가비, - , - ,소득,급여,,,,,,,,,,,,,,하계휴가비,5,비가휴계하
16808,16808,입금,급여 입금이체,효도휴가비,"250,000","1,000,000",입금이체,복리후생비/경비,,,,,,,,,,,,,,효도휴가비,5,비가휴도효
16840,16840,입금,급여 입금이체,휴가비, - ,"694,000",입금이체,복리후생비/경비,,,,,,,,,,,,,,휴가비,3,비가휴
16841,16841,입금,인터넷뱅킹 대량이체,휴가비, - ,"694,000",입금이체,복리후생비/경비,,,,,,,,,,,,,,휴가비,3,비가휴
