index,확인용,입출금구분,거래코드,적요,최소금액,최대금액,대분류,분류,적요일련번호,금융회사,데이터셋출처,출처번호,적요구조,적요구조일련번호,적요 설명,분류번호,단어,단어일련번호,단어의미,개체명,완료여부,적요_pre,적요길이,적요반대_pre
1078,1078,입금,인터넷뱅킹 대량이체, 월장학금,"300,000","300,000",입금이체,지원금/장학금,,,,,,,,,,,,,,0월장학금,4,금학장월0
4506,4506,입금,인터넷뱅킹 대량이체,국비ＴＡ장학금,"471,000","502,000",입금이체,지원금/장학금,,,,,,,,,,,,,,국비ＴＡ장학금,7,금학장ＡＴ비국
7354,7354,입금,인터넷뱅킹 대량이체,디딤돌장학금,"407,000","697,000",입금이체,지원금/장학금,,,,,,,,,,,,,,디딤돌장학금,6,금학장돌딤디
8766,8766,입금,인터넷뱅킹 대량이체,사회서비스가족장학금,"500,000","500,000",입금이체,지원금/장학금,,,,,,,,,,,,,,사회서비스가족장학금,10,금학장족가스비서회사
11730,11730,입금,일반대외대량 입금이체,오산대 L장학금,"100,000","100,000",입금이체,지원금/장학금,,,,,,,,,,,,,,오산대0L장학금,7,금학장L0대산오
13234,13234,입금,인터넷뱅킹 대량이체,전공　ＳＭＰ　장학금,"188,000","188,000",입금이체,지원금/장학금,,,,,,,,,,,,,,전공0ＳＭＰ0장학금,8,금학장0ＰＭＳ0공전
13350,13350,입금,인터넷뱅킹 대량이체,정부초청외국인장학금,"1,000,000","1,000,000",입금이체,지원금/장학금,,,,,,,,,,,,,,정부초청외국인장학금,10,금학장인국외청초부정
14749,14749,입금,인터넷뱅킹 대량이체,코로나장학금,"50,000","50,000",입금이체,지원금/장학금,,,,,,,,,,,,,,코로나장학금,6,금학장나로코
14750,14750,입금,인터넷뱅킹 대량이체,코로나특별장학금,"50,000","50,000",입금이체,지원금/장학금,,,,,,,,,,,,,,코로나특별장학금,8,금학장별특나로코
16705,16705,입금,인터넷뱅킹 대량이체,홍익글로벌장학금, - , - ,입금이체,지원금/장학금,,,,,,,,,,,,,,홍익글로벌장학금,8,금학장벌로글익홍
16711,16711,입금,인터넷뱅킹 대량이체,홍익대　장학금,"1,200,000","1,200,000",입금이체,지원금/장학금,,,,,,,,,,,,,,홍익대0장학금,6,금학장0대익홍
16723,16723,입금,인터넷뱅킹 대량이체,홍익대학교장학금,"300,000","2,009,000",입금이체,지원금/장학금,,,,,,,,,,,,,,홍익대학교장학금,8,금학장교학대익홍
17805,17805,입금,인터넷뱅킹 대량이체,ＣＫＵ（학생회장학금,"500,000","500,000",입금이체,지원금/장학금,,,,,,,,,,,,,,ＣＫＵ（학생회장학금,10,금학장회생학（ＵＫＣ
18263,18263,입금,인터넷뱅킹 대량이체,ＳＷ인재장학금, - , - ,입금이체,지원금/장학금,,,,,,,,,,,,,,ＳＷ인재장학금,7,금학장재인ＷＳ
46632,46632,지급,전자뱅킹예약건별이체,국민최진성장학금,"1,000,000","1,000,000",개인거래,기타출금,,,,,,,,,,,,,,국민최진성장학금,8,금학장성진최민국
53122,53122,지급,펌뱅킹 출금이체,꿈나무장학금,"20,000","20,000",기타,기부,,,,,,,,,,,,,,꿈나무장학금,6,금학장무나꿈
75227,75227,지급,요구불간계좌이체,여고장학금, - , - ,교육,교육비,,,,,,,,,,,,,,여고장학금,5,금학장고여
