index,확인용,입출금구분,거래코드,적요,최소금액,최대금액,대분류,분류,적요일련번호,금융회사,데이터셋출처,출처번호,적요구조,적요구조일련번호,적요 설명,분류번호,단어,단어일련번호,단어의미,개체명,완료여부,적요_pre,적요길이,적요반대_pre
54895,54895,지급,타행자동이체-전자금융부,농협-농협, - , - ,금융,금융지출,,,,,,,,,,,,,,농협-농협,4,협농-협농
54899,54899,지급,타행자동이체-전자금융부,농협-농협 정기이체, - , - ,개인거래,기타출금,,,,,,,,,,,,,,농협-농협0정기이체,8,체이기정0협농-협농
54900,54900,지급,타행자동이체-전자금융부,농협-농협-임영자, - , - ,개인거래,개인간거래,,,,,,,,,,,,,,농협-농협-임영자,7,자영임-협농-협농
54904,54904,지급,타행자동이체-전자금융부,농협-농협으로, - , - ,개인거래,기타출금,,,,,,,,,,,,,,농협-농협으로,6,로으협농-협농
54905,54905,지급,타행자동이체-전자금융부,농협-농협이동우, - , - ,개인거래,개인간거래,,,,,,,,,,,,,,농협-농협이동우,7,우동이협농-협농
54906,54906,지급,타행자동이체-전자금융부,농협-농협자동, - , - ,개인거래,기타출금,,,,,,,,,,,,,,농협-농협자동,6,동자협농-협농
54908,54908,지급,타행자동이체-전자금융부,농협-농협주택, - , - ,주거/생활,주거비,,,,,,,,,,,,,,농협-농협주택,6,택주협농-협농
54910,54910,지급,타행자동이체-전자금융부,농협-농협중앙회, - , - ,주거/생활,회비,,,,,,,,,,,,,,농협-농협중앙회,7,회앙중협농-협농
54913,54913,지급,타행자동이체-전자금융부,농협-농협통장, - , - ,개인거래,기타출금,,,,,,,,,,,,,,농협-농협통장,6,장통협농-협농
54914,54914,지급,타행자동이체-전자금융부,농협-농협투자, - , - ,금융,저축/투자,,,,,,,,,,,,,,농협-농협투자,6,자투협농-협농
54915,54915,지급,타행자동이체-전자금융부,농협-농협펀드, - , - ,금융,저축/투자,,,,,,,,,,,,,,농협-농협펀드,6,드펀협농-협농
