index,확인용,입출금구분,거래코드,적요,최소금액,최대금액,대분류,분류,적요일련번호,금융회사,데이터셋출처,출처번호,적요구조,적요구조일련번호,적요 설명,분류번호,단어,단어일련번호,단어의미,개체명,완료여부,적요_pre,적요길이,적요반대_pre
6853,6853,입금,인터넷뱅킹 대량이체,대성삼경회계법인,"100,000","100,000",입금이체,회사입금,,,,,,,,,,,,,,대성삼경회계법인,8,인법계회경삼성대
7148,7148,입금,인터넷뱅킹 대량이체,동남회계법인,"2,184,000","5,327,000",입금이체,회사입금,,,,,,,,,,,,,,동남회계법인,6,인법계회남동
9101,9101,입금,인터넷뱅킹 대량이체,삼지회계법인,"95,000","95,000",입금이체,회사입금,,,,,,,,,,,,,,삼지회계법인,6,인법계회지삼
9351,9351,입금,전자뱅킹예약건별이체,서린회계법인,"4,118,000","4,118,000",입금이체,회사입금,,,,,,,,,,,,,,서린회계법인,6,인법계회린서
9512,9512,입금,급여 입금이체,서현회계법인, - ,"13,966,000",입금이체,회사입금,,,,,,,,,,,,,,서현회계법인,6,인법계회현서
10298,10298,입금,전자뱅킹예약건별이체,신정회계법인,"2,307,000","2,307,000",입금이체,회사입금,,,,,,,,,,,,,,신정회계법인,6,인법계회정신
10669,10669,입금,전자뱅킹예약건별이체,신현회계법인,"6,160,000","6,160,000",입금이체,회사입금,,,,,,,,,,,,,,신현회계법인,6,인법계회현신
11685,11685,입금,인터넷뱅킹 대량이체,예교지성회계법인,"2,714,000","2,714,000",입금이체,회사입금,,,,,,,,,,,,,,예교지성회계법인,8,인법계회성지교예
12828,12828,입금,인터넷뱅킹 대량이체,이촌회계법인,"1,000","2,643,000",입금이체,회사입금,,,,,,,,,,,,,,이촌회계법인,6,인법계회촌이
15532,15532,입금,전자뱅킹예약건별이체,하나회계법인,"2,008,000","2,008,000",입금이체,회사입금,,,,,,,,,,,,,,하나회계법인,6,인법계회나하
41010,41010,지급,펌뱅킹 출금이체,가율회계법인,"88,000","110,000",서비스이용,전문서비스,,,,,,,,,,,,,,가율회계법인,6,인법계회율가
42211,42211,지급,전자뱅킹예약건별이체,경남이산회계법인,"220,000","220,000",서비스이용,전문서비스,,,,,,,,,,,,,,경남이산회계법인,8,인법계회산이남경
43082,43082,지급,펌뱅킹 출금이체,광교회계법인,"55,000","275,000",기타,기부,,,,,,,,,,,,,,광교회계법인,6,인법계회교광
44412,44412,지급,타행자동이체-전자금융부,국민-삼화회계법인, - , - ,서비스이용,전문서비스,,,,,,,,,,,,,,국민-삼화회계법인,8,인법계회화삼-민국
53295,53295,지급,펌뱅킹 출금이체,나우회계법인,"110,000","110,000",서비스이용,전문서비스,,,,,,,,,,,,,,나우회계법인,6,인법계회우나
53412,53412,지급,펌뱅킹 출금이체,남경회계법인, - ,"143,000",서비스이용,전문서비스,,,,,,,,,,,,,,남경회계법인,6,인법계회경남
