index,확인용,입출금구분,거래코드,적요,최소금액,최대금액,대분류,분류,적요일련번호,금융회사,데이터셋출처,출처번호,적요구조,적요구조일련번호,적요 설명,분류번호,단어,단어일련번호,단어의미,개체명,완료여부,적요_pre,적요길이,적요반대_pre
4069,4069,입금,타행자동이체-전자금융부,국민-전세금 세나, - , - ,소득,부동산수입,,,,,,,,,,,,,,국민-전세금0세나,7,나세0금세전-민국
15872,15872,입금,납부자자동 입금이체,하나－임대，관리비,"150,000","150,000",입금이체,생활비입금,,,,,,,,,,,,,,하나－임대，관리비,8,비리관，대임－나하
42183,42183,지급,전자뱅킹예약건별이체,경남관리비,"50,000","50,000",주거/생활,세금/공과금,,,,,,,,,,,,,,경남관리비,5,비리관남경
43195,43195,지급,전자뱅킹예약건별이체,광주광주관리비, - , - ,주거/생활,세금/공과금,,,,,,,,,,,,,,광주광주관리비,7,비리관주광주광
43559,43559,지급,전자뱅킹예약건별이체,국민    호관리비,"145,000","145,000",주거/생활,세금/공과금,,,,,,,,,,,,,,국민0000호관리비,6,비리관호0000민국
43561,43561,지급,전자뱅킹예약건별이체,국민   관리비,"1,071,000","1,071,000",주거/생활,세금/공과금,,,,,,,,,,,,,,국민000관리비,5,비리관000민국
43563,43563,지급,전자뱅킹예약건별이체,국민   호관리비,"35,000","80,000",주거/생활,세금/공과금,,,,,,,,,,,,,,국민000호관리비,6,비리관호000민국
43573,43573,지급,전자뱅킹예약건별이체,국민 월관리비, - ,"20,000",주거/생활,세금/공과금,,,,,,,,,,,,,,국민0월관리비,6,비리관월0민국
43579,43579,지급,전자뱅킹예약건별이체,국민 월월세,"300,000","300,000",주거/생활,주거비,,,,,,,,,,,,,,국민0월월세,5,세월월0민국
43593,43593,지급,타행자동이체-전자금융부,국민-   호 관리비, - , - ,주거/생활,세금/공과금,,,,,,,,,,,,,,국민-000호0관리비,6,비리관0호000-민국
43615,43615,지급,타행자동이체-전자금융부,국민-SK뷰 월세, - , - ,주거/생활,주거비,,,,,,,,,,,,,,국민-SK뷰0월세,7,세월0뷰KS-민국
43619,43619,지급,타행자동이체-전자금융부,국민-가게세관리비, - , - ,주거/생활,세금/공과금,,,,,,,,,,,,,,국민-가게세관리비,8,비리관세게가-민국
43710,43710,지급,타행자동이체-전자금융부,국민-관리비 용돈, - , - ,주거/생활,세금/공과금,,,,,,,,,,,,,,국민-관리비0용돈,7,돈용0비리관-민국
44101,44101,지급,타행자동이체-전자금융부,국민-낙원월세, - , - ,주거/생활,주거비,,,,,,,,,,,,,,국민-낙원월세,6,세월원낙-민국
44166,44166,지급,타행자동이체-전자금융부,국민-두산 월세, - , - ,주거/생활,주거비,,,,,,,,,,,,,,국민-두산0월세,6,세월0산두-민국
44403,44403,지급,타행자동이체-전자금융부,국민-빌라관리비, - , - ,주거/생활,세금/공과금,,,,,,,,,,,,,,국민-빌라관리비,7,비리관라빌-민국
