index,확인용,입출금구분,거래코드,적요,최소금액,최대금액,대분류,분류,적요일련번호,금융회사,데이터셋출처,출처번호,적요구조,적요구조일련번호,적요 설명,분류번호,단어,단어일련번호,단어의미,개체명,완료여부,적요_pre,적요길이,적요반대_pre
7780,7780,입금,인터넷뱅킹 대량이체,명절급여　ＣＪ,"2,610,000","3,333,000",소득,급여,,,,,,,,,,,,,,명절급여0ＣＪ,7,ＪＣ0여급절명
7781,7781,입금,인터넷뱅킹 대량이체,명절급여（설）,"308,000","2,841,000",소득,급여,,,,,,,,,,,,,,명절급여（설）,7,）설（여급절명
13316,13316,입금,인터넷뱅킹 대량이체,정기급여　넥센타이어, - ,"8,498,000",소득,급여,,,,,,,,,,,,,,정기급여0넥센타이어,10,어이타센넥0여급기정
13317,13317,입금,인터넷뱅킹 대량이체,정기급여종근당바이오, - ,"5,765,000",소득,급여,,,,,,,,,,,,,,정기급여종근당바이오,10,오이바당근종여급기정
13318,13318,입금,인터넷뱅킹 대량이체,정기급여（ 월）,"527,000","10,518,000",소득,급여,,,,,,,,,,,,,,정기급여0월,6,월0여급기정
13319,13319,입금,인터넷뱅킹 대량이체,정기급여＿유류대　（,"391,000","391,000",소득,급여,,,,,,,,,,,,,,정기급여＿유류대0（,9,（0대류유＿여급기정
13320,13320,입금,인터넷뱅킹 대량이체,정기급여＿차인지급액,"1,485,000","4,677,000",소득,급여,,,,,,,,,,,,,,정기급여＿차인지급액,9,액급지인차＿여급기정
13351,13351,입금,인터넷뱅킹 대량이체,정산급여　（권민근）,"2,743,000","2,743,000",소득,급여,,,,,,,,,,,,,,정산급여0권민근,8,근민권0여급산정
14258,14258,입금,인터넷뱅킹 대량이체,직원급여송금,"5,942,000","5,942,000",소득,급여,,,,,,,,,,,,,,직원급여송금,6,금송여급원직
14259,14259,입금,인터넷뱅킹 대량이체,직원급여유엔,"2,380,000","2,380,000",소득,급여,,,,,,,,,,,,,,직원급여유엔,6,엔유여급원직
41901,41901,지급,인터넷뱅킹 대량이체,개인급여정리,"3,100,000","3,100,000",기타,급여지급,,,,,,,,,,,,,,개인급여정리,6,리정여급인개
